timestamp,close,high,low,trade_count,open,volume,vwap,symbol
2016-01-01 00:01:00+00:00,204.05,204.05,204.05,1,204.05,100,204.05,SPY
2016-01-01 00:03:00+00:00,204.08,204.08,204.05,5,204.05,400,204.06,SPY
2016-01-01 00:05:00+00:00,204.01,204.01,204.01,2,204.01,500,204.01114,SPY
2016-01-01 00:08:00+00:00,204.05,204.05,204.05,1,204.05,250,204.05,SPY
2016-01-01 00:11:00+00:00,204.09,204.09,204.09,1,204.09,100,204.09,SPY
2016-01-01 00:12:00+00:00,204.01,204.01,204.01,1,204.01,250,204.01,SPY
2016-01-01 00:45:00+00:00,204.04,204.04,204.04,2,204.04,300,204.04,SPY
2016-01-01 00:53:00+00:00,204.02,204.02,204.02,2,204.02,500,204.02,SPY
2016-01-01 00:54:00+00:00,204.07,204.07,204.07,1,204.07,150,204.07,SPY
2016-01-01 00:55:00+00:00,204.07,204.07,204.07,1,204.07,807,204.07,SPY
2016-01-01 00:58:00+00:00,204.07,204.07,204.07,4,204.07,1415,204.07,SPY
2016-01-01 00:59:00+00:00,204.07,204.09,204.07,4,204.09,885,204.07904,SPY
2016-01-04 09:00:00+00:00,201.14,201.18,201.08,26,201.18,2260,201.162301,SPY
2016-01-04 09:02:00+00:00,200.98,201.1,200.98,7,201.1,907,201.031885,SPY
2016-01-04 09:03:00+00:00,201.08,201.08,201.04,4,201.04,1271,201.070559,SPY
2016-01-04 09:04:00+00:00,201.01,201.01,201.01,1,201.01,200,201.01,SPY
2016-01-04 09:05:00+00:00,200.93,200.93,200.93,2,200.93,130,200.953077,SPY
2016-01-04 09:06:00+00:00,200.86,200.9,200.86,8,200.9,370,200.889189,SPY
2016-01-04 09:08:00+00:00,200.9,200.91,200.85,7,200.85,2046,200.888964,SPY
2016-01-04 09:09:00+00:00,200.83,200.9,200.83,3,200.9,232,200.858448,SPY
2016-01-04 09:10:00+00:00,200.86,200.86,200.86,3,200.86,6666,200.86,SPY
2016-01-04 09:13:00+00:00,200.91,200.91,200.91,2,200.91,1505,200.910133,SPY
2016-01-04 09:15:00+00:00,201.08,201.08,200.99,2,200.99,1100,200.998182,SPY
2016-01-04 09:16:00+00:00,201.03,201.06,201.03,5,201.06,230,201.044783,SPY
2016-01-04 09:19:00+00:00,201.03,201.05,201.03,9,201.04,1620,201.031975,SPY
2016-01-04 09:20:00+00:00,201.03,201.03,201.01,4,201.01,1300,201.014615,SPY
2016-01-04 09:21:00+00:00,201.03,201.03,201.03,2,201.03,102,201.03098,SPY
2016-01-04 09:22:00+00:00,201.21,201.21,201.16,6,201.16,518,201.179305,SPY
2016-01-04 09:24:00+00:00,201.17,201.21,201.17,7,201.21,540,201.186296,SPY
2016-01-04 09:26:00+00:00,201.36,201.36,201.26,4,201.26,2055,201.31,SPY
2016-01-04 09:27:00+00:00,201.36,201.36,201.34,3,201.34,500,201.352,SPY
2016-01-04 09:29:00+00:00,201.38,201.39,201.34,3,201.39,400,201.375,SPY
2016-01-04 09:30:00+00:00,201.36,201.36,201.36,3,201.36,612,201.365359,SPY
2016-01-04 09:31:00+00:00,201.39,201.39,201.39,4,201.39,908,201.390088,SPY
2016-01-04 09:32:00+00:00,201.36,201.36,201.36,5,201.36,1120,201.36,SPY
2016-01-04 09:33:00+00:00,201.34,201.34,201.34,1,201.34,500,201.34,SPY
2016-01-04 09:36:00+00:00,201.19,201.2,201.19,2,201.2,300,201.193333,SPY
2016-01-04 09:37:00+00:00,201.25,201.25,201.25,2,201.25,2000,201.25,SPY
2016-01-04 09:38:00+00:00,201.28,201.28,201.28,3,201.28,102,201.278235,SPY
2016-01-04 09:39:00+00:00,201.26,201.26,201.26,1,201.26,100,201.26,SPY
2016-01-04 09:48:00+00:00,201.27,201.27,201.27,2,201.27,110,201.264545,SPY
2016-01-04 09:49:00+00:00,201.11,201.11,201.11,4,201.11,220,201.11,SPY
2016-01-04 09:50:00+00:00,201.01,201.05,201.01,10,201.05,1280,201.03,SPY
2016-01-04 09:51:00+00:00,200.98,201.0,200.98,7,201.0,6370,200.999686,SPY
2016-01-04 09:52:00+00:00,200.94,200.94,200.94,1,200.94,100,200.94,SPY
2016-01-04 09:54:00+00:00,200.93,200.93,200.93,2,200.93,172,200.924186,SPY
2016-01-04 09:55:00+00:00,200.88,200.9,200.88,2,200.9,1100,200.881818,SPY
2016-01-04 09:56:00+00:00,200.88,200.93,200.87,7,200.93,2120,200.894623,SPY
2016-01-04 09:58:00+00:00,200.84,200.89,200.84,5,200.89,460,200.865435,SPY
2016-01-04 09:59:00+00:00,200.84,200.84,200.84,2,200.84,220,200.842727,SPY
2016-01-04 10:00:00+00:00,200.96,200.96,200.86,10,200.87,19000,200.9072,SPY
2016-01-04 10:02:00+00:00,200.95,200.95,200.87,4,200.87,620,200.934839,SPY
2016-01-04 10:03:00+00:00,200.94,200.94,200.94,2,200.94,200,200.94,SPY
2016-01-04 10:07:00+00:00,200.99,200.99,200.99,1,200.99,100,200.99,SPY
2016-01-04 10:09:00+00:00,201.01,201.01,201.01,4,201.01,270,201.012593,SPY
2016-01-04 10:10:00+00:00,200.99,200.99,200.99,1,200.99,300,200.99,SPY
2016-01-04 10:12:00+00:00,201.13,201.13,201.13,2,201.13,600,201.13,SPY
2016-01-04 10:14:00+00:00,201.09,201.09,201.09,1,201.09,100,201.09,SPY
2016-01-04 10:17:00+00:00,201.08,201.09,201.08,9,201.09,2620,201.086145,SPY
2016-01-04 10:18:00+00:00,201.12,201.12,201.06,8,201.08,9300,201.075043,SPY
2016-01-04 10:20:00+00:00,201.03,201.03,201.03,3,201.03,1020,201.03,SPY
2016-01-04 10:21:00+00:00,200.93,200.93,200.93,1,200.93,180,200.93,SPY
2016-01-04 10:22:00+00:00,201.01,201.01,201.01,1,201.01,300,201.01,SPY
2016-01-04 10:23:00+00:00,201.04,201.04,200.98,6,200.98,5548,201.034247,SPY
2016-01-04 10:30:00+00:00,200.85,200.93,200.85,4,200.93,770,200.877273,SPY
2016-01-04 10:31:00+00:00,200.81,200.89,200.81,7,200.89,5020,200.831992,SPY
2016-01-04 10:32:00+00:00,200.76,200.76,200.75,6,200.76,1750,200.758171,SPY
2016-01-04 10:33:00+00:00,200.87,200.87,200.84,4,200.84,7400,200.866351,SPY
2016-01-04 10:34:00+00:00,200.96,200.96,200.93,24,200.93,31435,200.947816,SPY
2016-01-04 10:36:00+00:00,200.98,200.99,200.98,6,200.99,3000,200.983667,SPY
2016-01-04 10:37:00+00:00,201.02,201.04,201.02,4,201.04,4000,201.03,SPY
2016-01-04 10:38:00+00:00,201.01,201.01,201.01,1,201.01,1000,201.01,SPY
2016-01-04 10:40:00+00:00,200.97,200.99,200.95,15,200.97,12975,200.961854,SPY
2016-01-04 10:41:00+00:00,200.85,200.96,200.85,7,200.96,4300,200.901395,SPY
2016-01-04 10:43:00+00:00,200.99,200.99,200.99,2,200.99,150,200.983333,SPY
2016-01-04 10:44:00+00:00,201.0,201.0,201.0,2,201.0,149,201.0,SPY
2016-01-04 10:45:00+00:00,201.09,201.09,201.04,6,201.04,2400,201.051667,SPY
2016-01-04 10:46:00+00:00,201.07,201.09,201.05,9,201.09,5682,201.068995,SPY
2016-01-04 10:47:00+00:00,200.98,201.05,200.98,3,201.05,657,201.010441,SPY
2016-01-04 10:51:00+00:00,200.97,200.97,200.97,1,200.97,100,200.97,SPY
2016-01-04 10:52:00+00:00,200.95,200.95,200.94,10,200.95,10200,200.948529,SPY
2016-01-04 10:53:00+00:00,200.93,200.93,200.93,3,200.93,800,200.93,SPY
2016-01-04 10:57:00+00:00,200.96,200.96,200.96,1,200.96,400,200.96,SPY
2016-01-04 10:58:00+00:00,201.05,201.05,201.03,4,201.03,342,201.046228,SPY
2016-01-04 10:59:00+00:00,201.11,201.11,201.11,2,201.11,167,201.11,SPY
