label_3days
-1
1
1
1
1
-1
-1
1
-1
-1
1
-1
1
1
1
-1
1
-1
1
1
1
1
1
1
-1
1
-1
1
1
1
-1
1
1
1
1
-1
1
1
1
-1
1
1
-1
1
1
1
1
-1
1
1
-1
1
1
-1
-1
-1
1
-1
-1
-1
1
-1
1
1
-1
1
-1
-1
1
1
1
-1
1
1
1
1
1
-1
1
1
-1
1
1
1
-1
1
-1
-1
1
-1
1
-1
-1
1
1
1
1
1
1
-1
-1
-1
-1
-1
1
1
-1
1
-1
1
1
1
1
1
1
1
1
1
1
1
-1
1
-1
1
1
1
1
1
-1
1
1
1
1
1
1
-1
1
1
1
-1
1
1
-1
1
1
1
-1
-1
-1
1
1
1
1
1
1
1
-1
1
1
-1
1
-1
1
-1
1
1
1
-1
1
1
1
1
-1
-1
1
1
1
-1
1
1
1
1
-1
-1
1
-1
1
1
-1
1
-1
1
1
-1
-1
1
-1
1
1
-1
-1
1
1
1
1
-1
1
1
-1
1
1
1
1
1
1
1
-1
1
1
1
-1
-1
-1
1
1
-1
1
1
1
1
-1
-1
1
-1
1
-1
1
1
-1
1
1
1
-1
1
-1
-1
1
1
-1
-1
1
1
-1
1
1
1
1
-1
1
1
-1
1
1
1
-1
-1
1
1
-1
1
1
1
1
-1
1
-1
-1
-1
1
1
-1
-1
1
1
-1
1
1
1
-1
-1
-1
1
-1
1
1
1
-1
-1
1
1
-1
-1
1
1
1
1
-1
-1
1
1
1
1
1
-1
1
1
1
-1
-1
-1
1
1
1
1
-1
-1
1
-1
1
1
1
1
1
1
-1
1
1
1
1
-1
1
-1
1
-1
1
1
1
1
1
1
-1
-1
1
-1
-1
1
1
1
1
1
1
1
-1
-1
1
1
1
1
-1
1
-1
-1
-1
-1
1
-1
-1
1
-1
-1
1
1
-1
1
-1
1
-1
1
-1
1
1
1
1
-1
1
-1
1
1
1
-1
-1
1
1
-1
1
-1
1
-1
1
-1
1
1
-1
1
-1
1
1
1
1
1
1
-1
1
1
-1
1
1
1
-1
1
1
-1
1
1
1
-1
1
-1
-1
1
-1
-1
-1
1
1
1
1
1
-1
1
1
1
1
1
-1
1
-1
1
1
1
1
-1
1
1
1
-1
1
1
1
1
1
-1
1
1
1
1
-1
1
-1
1
-1
1
-1
-1
1
1
1
1
1
1
1
1
1
1
-1
1
-1
1
1
1
1
-1
1
-1
1
1
-1
1
-1
1
1
-1
-1
1
1
1
1
-1
1
1
-1
-1
-1
-1
-1
1
1
1
1
1
-1
1
1
1
1
1
1
-1
-1
1
-1
-1
1
1
1
1
1
-1
1
1
-1
1
1
1
-1
1
1
-1
-1
1
1
-1
1
1
1
1
-1
-1
1
1
1
1
1
1
-1
-1
1
-1
-1
1
1
1
1
1
1
-1
-1
-1
1
1
1
-1
-1
-1
1
1
-1
1
1
1
-1
1
1
-1
1
1
1
-1
1
-1
1
-1
1
-1
1
1
1
1
-1
-1
1
-1
-1
1
1
-1
1
1
1
1
1
-1
1
1
1
1
1
1
-1
1
-1
1
1
1
-1
-1
-1
1
-1
1
1
1
